f3,f2,f1,f0
636,582,619,652
638,588,637,654
643,592,639,664
644,601,642,671
651,603,647,673
658,606,655,676
663,613,660,679
665,614,661,680
667,621,666,689
668,622,682,706
670,627,683,709
672,630,685,710
674,632,686,717
677,633,691,729
678,634,695,730
681,645,696,742
687,649,699,746
688,650,701,749
690,653,702,752
697,656,707,754
700,657,711,755
704,659,713,758
705,662,720,761
715,669,725,765
716,675,731,766
718,684,734,767
721,692,736,771
722,693,740,778
723,694,748,782
724,698,750,784
726,703,753,785
727,708,759,793
728,712,763,799
733,714,768,802
737,719,774,804
738,732,776,810
741,735,777,813
743,739,781,815
744,756,787,816
745,760,791,818
747,769,792,833
751,770,796,837
757,772,817,843
762,773,819,845
764,779,824,851
775,783,825,854
780,788,828,860
786,789,830,861
794,790,834,862
795,797,841,863
803,798,849,865
807,800,855,872
808,801,856,874
809,805,859,877
814,806,864,878
820,811,867,883
821,812,869,888
823,822,871,891
826,827,887,893
829,831,890,906
835,832,897,911
836,838,899,912
839,840,904,913
842,844,907,919
846,847,908,921
850,848,924,925
858,852,935,926
868,853,936,931
873,857,939,932
881,866,940,933
882,870,941,938
886,875,955,943
889,876,961,944
892,879,962,945
895,880,963,951
898,884,965,953
901,885,976,954
903,894,981,956
905,896,982,957
914,900,984,959
915,902,987,967
916,909,996,970
917,910,1000,972
918,920,1012,974
923,922,1024,977
929,927,1031,978
934,928,1044,979
942,930,1046,980
947,937,1047,983
950,946,1050,993
952,948,1055,1001
958,949,1065,1005
964,960,1067,1006
966,968,1078,1015
971,969,1081,1017
975,973,1087,1021
985,986,1092,1032
988,992,1096,1033
989,1007,1099,1040
990,1009,1103,1041
991,1010,1106,1048
994,1014,1109,1052
995,1016,1114,1058
997,1018,1118,1060
998,1022,1119,1062
999,1023,1120,1063
1002,1028,1121,1076
1003,1034,1126,1079
1004,1035,1132,1082
1008,1036,1135,1090
1011,1038,1140,1093
1013,1039,1143,1097
1019,1043,1147,1100
1020,1045,1148,1105
1025,1057,1151,1107
1026,1059,1154,1115
1027,1064,1157,1122
1029,1066,1161,1123
1030,1068,1163,1125
1037,1069,1169,1133
1042,1071,1175,1138
1049,1074,1178,1141
1051,1075,1183,1142
1053,1080,1187,1146
1054,1083,1190,1149
1056,1084,1191,1150
1061,1086,1197,1158
1070,1088,1201,1165
1072,1091,1202,1168
1073,1094,1208,1171
1077,1102,1209,1176
1085,1110,1212,1177
1089,1113,1214,1179
1095,1117,1215,1181
1098,1127,1220,1184
1101,1128,1221,1186
1104,1130,1225,1189
1108,1134,1228,1193
1111,1137,1230,1200
1112,1139,1231,1203
1116,1144,1232,1216
1124,1145,1233,1217
1129,1152,1237,1218
1131,1155,1241,1219
1136,1159,1244,1222
1153,1164,1245,1229
1156,1166,1247,1234
1160,1167,1262,1239
1162,1170,1263,1246
1172,1174,1264,1248
1173,1188,1271,1251
1180,1192,1275,1255
1182,1194,1285,1256
1185,1195,1290,1257
1198,1196,1298,1260
1199,1205,1301,1261
1204,1206,1312,1268
1207,1211,1313,1278
1210,1213,1315,1287
1224,1223,1316,1289
1226,1235,1317,1292
1227,1236,1318,1293
1242,1238,1320,1295
1243,1240,1323,1299
1249,1254,1330,1308
1250,1269,1340,1310
1252,1272,1346,1321
1253,1276,1348,1324
1258,1277,1355,1326
1259,1282,1358,1329
1265,1283,1362,1342
1266,1284,1364,1347
1267,1296,1371,1352
1270,1300,1373,1354
1273,1304,1384,1357
1274,1307,1385,1360
1279,1311,1386,1365
1280,1314,1390,1368
1281,1319,1392,1369
1286,1322,1394,1375
1288,1332,1403,1376
1291,1333,1405,1377
1294,1334,1407,1379
1297,1336,1408,1380
1302,1343,1411,1381
1303,1344,1414,1393
1305,1345,1421,1395
1306,1349,1422,1402
1309,1351,1426,1404
1325,1353,1427,1406
1327,1356,1431,1409
1328,1359,1433,1417
1331,1361,1438,1418
1335,1363,1443,1423
1337,1370,1449,1424
1338,1372,1459,1434
1339,1374,1462,1439
1341,1378,1469,1442
1350,1388,1472,1450
1366,1389,1485,1452
1367,1391,1488,1455
1382,1396,1492,1456
1383,1397,1494,1465
1387,1416,1499,1467
1398,1419,1506,1468
1399,1420,1517,1473
1400,1425,1518,1474
1401,1428,1520,1479
1410,1429,1521,1480
1412,1430,1527,1481
1413,1444,1533,1483
1415,1446,1535,1484
1432,1447,1540,1489
1435,1451,1543,1491
1436,1454,1554,1496
1437,1463,1567,1498
1440,1466,1570,1503
1441,1470,1572,1508
1445,1476,1576,1523
1448,1482,1577,1524
1453,1487,1578,1525
1457,1493,1580,1536
1458,1495,1581,1549
1460,1501,1591,1551
1461,1505,1594,1557
1464,1510,1596,1562
1471,1511,1602,1569
1475,1512,1605,1571
1477,1515,1606,1574
1478,1516,1612,1575
1486,1519,1627,1582
1490,1526,1631,1583
1497,1529,1639,1593
1500,1530,1652,1600
1502,1537,1654,1604
1504,1538,1659,1608
1507,1542,1662,1610
1509,1545,1663,1611
1513,1546,1666,1614
1514,1548,1680,1617
1522,1550,1681,1620
1528,1552,1683,1624
1531,1555,1690,1625
1532,1556,1691,1629
1534,1559,1692,1637
1539,1566,1701,1638
1541,1573,1702,1640
1544,1579,1703,1645
1547,1584,1704,1647
1553,1589,1705,1649
1558,1598,1711,1650
1560,1603,1712,1656
1561,1613,1714,1660
1563,1615,1717,1671
1564,1616,1720,1672
1565,1618,1722,1674
1568,1619,1723,1677
1585,1621,1727,1678
1586,1623,1729,1682
1587,1630,1730,1686
1588,1632,1736,1688
1590,1634,1741,1689
1592,1635,1745,1693
1595,1642,1751,1696
1597,1643,1753,1697
1599,1646,1773,1698
1601,1653,1781,1699
1607,1664,1785,1709
1609,1665,1787,1715
1622,1687,1795,1719
1626,1695,1797,1724
1628,1710,1798,1728
1633,1713,1799,1732
1636,1718,1800,1733
1641,1721,1801,1735
1644,1726,1805,1738
1648,1731,1807,1742
1651,1739,1809,1743
1655,1755,1810,1747
1657,1761,1811,1756
1658,1764,1813,1757
1661,1765,1834,1759
1667,1768,1841,1766
1668,1774,1869,1769
1669,1776,1870,1775
1670,1778,1873,1777
1673,1779,1875,1782
1675,1789,1880,1784
1676,1803,1881,1790
1679,1806,1884,1793
1684,1808,1886,1796
1685,1816,1896,1812
1694,1820,1902,1814
1700,1821,1903,1815
1706,1840,1906,1817
1707,1842,1908,1818
1708,1843,1913,1819
1716,1853,1915,1822
1725,1856,1919,1823
1734,1860,1925,1824
1737,1862,1927,1825
1740,1874,1930,1826
1744,1877,1931,1827
1746,1887,1933,1828
1748,1889,1937,1829
1749,1891,1941,1830
1750,1895,1947,1831
1752,1898,1950,1839
1754,1899,1955,1844
1758,1907,1958,1845
1760,1909,1965,1848
1762,1916,1973,1849
1763,1921,1977,1851
1767,1924,1979,1857
1770,1926,1986,1858
1771,1928,1987,1863
1772,1934,1992,1865
1780,1939,1994,1867
1783,1942,1995,1871
1786,1943,2003,1872
1788,1948,2011,1878
1791,1949,2012,1879
1792,1956,2015,1883
1794,1960,2019,1890
1802,1962,2022,1892
1804,1964,2023,1897
1832,1968,2026,1904
1833,1969,2038,1910
1835,1972,2039,1912
1836,1978,2041,1914
1837,1982,2044,1918
1838,1983,2051,1922
1846,1996,2055,1923
1847,2000,2060,1929
1850,2004,2061,1935
1852,2008,2062,1938
1854,2009,2078,1940
1855,2014,2080,1944
1859,2017,2081,1946
1861,2018,2095,1952
1864,2021,2100,1959
1866,2025,2102,1961
1868,2027,2105,1963
1876,2028,2109,1967
1882,2030,2117,1971
1885,2033,2125,1974
1888,2036,2126,1975
1893,2042,2135,1976
1894,2050,2145,1981
1900,2052,2153,1984
1901,2053,2157,1998
1905,2054,2164,2002
1911,2063,2171,2007
1917,2065,2172,2016
1920,2066,2176,2024
1932,2069,2177,2031
1936,2071,2179,2032
1945,2073,2182,2035
1951,2074,2194,2045
1953,2076,2202,2046
1954,2077,2203,2047
1957,2079,2209,2048
1966,2084,2210,2057
1970,2085,2214,2059
1980,2086,2230,2064
1985,2087,2235,2067
1988,2088,2249,2070
1989,2096,2250,2072
1990,2098,2251,2090
1991,2110,2253,2092
1993,2111,2259,2097
1997,2112,2263,2099
1999,2114,2264,2103
2001,2115,2268,2107
2005,2116,2269,2108
2006,2118,2274,2119
2010,2123,2283,2120
2013,2124,2286,2127
2020,2131,2307,2128
2029,2137,2310,2130
2034,2139,2320,2132
2037,2140,2331,2134
2040,2141,2335,2136
2043,2142,2338,2144
2049,2149,2343,2147
2056,2150,2346,2160
2058,2152,2358,2162
2068,2154,2363,2163
2075,2155,2371,2165
2082,2161,2373,2166
2083,2170,2379,2167
2089,2180,2380,2178
2091,2184,2382,2181
2093,2186,2397,2183
2094,2195,2399,2185
2101,2196,2400,2190
2104,2198,2404,2191
2106,2200,2408,2192
2113,2205,2411,2193
2121,2208,2413,2199
2122,2211,2414,2204
2129,2212,2415,2206
2133,2218,2417,2215
2138,2219,2420,2222
2143,2221,2424,2223
2146,2227,2431,2224
2148,2236,2441,2228
2151,2238,2446,2231
2156,2242,2453,2232
2158,2243,2455,2233
2159,2255,2456,2234
2168,2256,2462,2237
2169,2260,2469,2239
2173,2265,2478,2246
2174,2266,2481,2252
2175,2275,2482,2257
2187,2278,2483,2262
2188,2280,2484,2267
2189,2281,2488,2270
2197,2291,2492,2271
2201,2297,2497,2272
2207,2300,2502,2273
2213,2301,2503,2279
2216,2302,2509,2282
2217,2303,2512,2285
2220,2305,2527,2287
2225,2309,2531,2289
2226,2315,2540,2290
2229,2324,2543,2292
2240,2325,2555,2293
2241,2326,2559,2295
2244,2329,2567,2296
2245,2336,2575,2299
2247,2347,2576,2304
2248,2348,2577,2306
2254,2349,2579,2312
2258,2350,2581,2314
2261,2354,2586,2318
2276,2355,2591,2319
2277,2356,2595,2322
2284,2362,2597,2323
2288,2366,2598,2327
2294,2369,2599,2328
2298,2370,2602,2332
2308,2375,2611,2333
2311,2376,2614,2337
2313,2377,2615,2340
2316,2384,2617,2341
2317,2392,2618,2351
2321,2393,2626,2352
2330,2394,2627,2360
2334,2398,2630,2372
2339,2401,2633,2381
2342,2405,2635,2383
2344,2407,2636,2386
2345,2421,2637,2387
2353,2428,2640,2388
2357,2430,2645,2390
2359,2438,2648,2395
2361,2439,2653,2396
2364,2447,2667,2403
2365,2448,2673,2406
2367,2449,2674,2416
2368,2460,2677,2418
2374,2464,2688,2422
2378,2466,2691,2423
2385,2468,2695,2427
2389,2470,2698,2429
2391,2477,2706,2432
2402,2480,2707,2433
2409,2508,2712,2436
2410,2511,2714,2437
2412,2514,2719,2444
2419,2515,2720,2445
2425,2518,2721,2451
2426,2520,2724,2452
2434,2521,2727,2458
2435,2528,2730,2459
2440,2529,2732,2463
2442,2530,2733,2471
2443,2532,2735,2474
2450,2533,2737,2475
2454,2539,2738,2486
2457,2541,2742,2490
2461,2552,2745,2491
2465,2563,2753,2495
2467,2564,2763,2499
2472,2566,2765,2501
2473,2569,2772,2504
2476,2572,2773,2505
2479,2574,2774,2506
2485,2580,2777,2507
2487,2584,2784,2510
2489,2594,2789,2517
2493,2596,2795,2523
2494,2600,2796,2526
2496,2601,2798,2534
2498,2603,2800,2535
2500,2605,2802,2536
2513,2631,2809,2537
2516,2634,2810,2538
2519,2639,2814,2542
2522,2641,2819,2545
2524,2651,2822,2546
2525,2656,2829,2547
2544,2659,2833,2551
2548,2664,2837,2554
2549,2665,2839,2557
2550,2666,2843,2560
2553,2671,2846,2562
2556,2672,2852,2565
2558,2675,2856,2570
2561,2676,2860,2573
2568,2678,2861,2578
2571,2684,2862,2583
2582,2687,2866,2587
2585,2690,2868,2606
2588,2693,2871,2609
2589,2699,2874,2613
2590,2701,2882,2616
2592,2702,2884,2619
2593,2711,2889,2621
2604,2722,2892,2623
2607,2726,2902,2624
2608,2739,2904,2625
2610,2740,2907,2632
2612,2748,2916,2643
2620,2749,2918,2646
2622,2751,2924,2652
2628,2755,2930,2654
2629,2759,2933,2660
2638,2764,2942,2661
2642,2771,2948,2663
2644,2776,2950,2670
2647,2778,2952,2679
2649,2779,2956,2680
2650,2781,2957,2681
2655,2785,2960,2694
2657,2788,2962,2700
2658,2790,2963,2705
2662,2791,2964,2710
2668,2799,2967,2713
2669,2807,2968,2716
2682,2808,2970,2723
2683,2816,2973,2728
2685,2820,2977,2736
2686,2826,2981,2744
2689,2830,2989,2746
2692,2858,2991,2747
2696,2863,2993,2760
2697,2865,2995,2761
2703,2872,2996,2762
2704,2875,2997,2767
2708,2883,3001,2768
2709,2890,3007,2780
2715,2891,3022,2782
2717,2894,3025,2786
2718,2895,3030,2792
2725,2900,3035,2794
2729,2901,3036,2797
2731,2909,3041,2803
2734,2914,3042,2805
2741,2915,3043,2806
2743,2917,3049,2811
2750,2921,3053,2817
2752,2923,3054,2821
2754,2926,3056,2823
2756,2927,3061,2828
2757,2929,3063,2831
2758,2946,3064,2832
2766,2951,3066,2836
2769,2953,3067,2838
2770,2958,3068,2840
2775,2961,3069,2842
2783,2965,3071,2844
2787,2966,3076,2845
2793,2969,3077,2850
2801,2978,3084,2851
2804,2980,3085,2854
2812,2984,3094,2857
2813,2999,3107,2859
2815,3000,3109,2864
2818,3004,3110,2867
2824,3006,3112,2870
2825,3013,3119,2878
2827,3014,3121,2881
2834,3015,3125,2885
2835,3016,3143,2888
2841,3020,3151,2903
2847,3021,3158,2906
2848,3023,3166,2911
2849,3026,3169,2913
2853,3029,3173,2919
2855,3034,3177,2920
2869,3038,3179,2922
2873,3047,3181,2934
2876,3050,3184,2935
2877,3055,3197,2939
2879,3065,3198,2941
2880,3070,3200,2943
2886,3072,3203,2944
2887,3073,3208,2947
2893,3074,3209,2949
2896,3078,3210,2954
2897,3080,3211,2955
2898,3087,3212,2959
2899,3091,3215,2982
2905,3093,3219,2986
2908,3096,3221,2987
2910,3098,3222,2990
2912,3100,3224,2994
2925,3101,3227,2998
2928,3104,3229,3002
2931,3105,3240,3003
2932,3120,3242,3005
2936,3124,3245,3008
2937,3129,3246,3010
2938,3134,3250,3011
2940,3141,3253,3017
2945,3142,3263,3024
2971,3144,3271,3028
2972,3150,3274,3032
2974,3154,3278,3037
2975,3160,3279,3040
2976,3164,3280,3045
2979,3165,3281,3052
2983,3168,3282,3057
2985,3175,3283,3058
2988,3180,3290,3079
2992,3185,3293,3082
3009,3188,3302,3083
3012,3190,3307,3086
3018,3196,3314,3088
3019,3201,3318,3092
3027,3204,3324,3097
3031,3206,3327,3102
3033,3225,3335,3103
3039,3226,3342,3111
3044,3233,3343,3114
3046,3238,3345,3115
3048,3239,3346,3117
3051,3241,3347,3122
3059,3243,3356,3123
3060,3247,3359,3127
3062,3251,3365,3131
3075,3254,3367,3135
3081,3257,3373,3138
3089,3260,3377,3139
3090,3268,3380,3146
3095,3277,3381,3152
3099,3291,3383,3157
3106,3295,3396,3159
3108,3296,3402,3162
3113,3298,3412,3167
3116,3299,3413,3171
3118,3301,3418,3174
3126,3303,3434,3176
3128,3305,3435,3178
3130,3306,3436,3182
3132,3309,3437,3183
3133,3313,3440,3187
3136,3315,3443,3189
3137,3316,3449,3193
3140,3317,3451,3194
3145,3319,3452,3199
3147,3322,3455,3202
3148,3333,3456,3205
3149,3334,3463,3220
3153,3336,3466,3230
3155,3341,3468,3231
3156,3349,3469,3234
3161,3351,3476,3236
3163,3357,3482,3244
3170,3362,3488,3248
3172,3374,3496,3252
3186,3386,3499,3256
3191,3393,3501,3258
3192,3394,3502,3262
3195,3398,3511,3265
3207,3407,3516,3267
3213,3409,3519,3269
3214,3419,3521,3276
3216,3423,3523,3284
3217,3426,3525,3286
3218,3431,3528,3297
3223,3433,3529,3304
3228,3438,3530,3308
3232,3439,3535,3311
3235,3441,3537,3312
3237,3442,3539,3323
3249,3444,3558,3331
3255,3446,3565,3338
3259,3454,3569,3339
3261,3457,3573,3340
3264,3460,3590,3344
3266,3475,3600,3348
3270,3477,3604,3350
3272,3480,3610,3352
3273,3485,3611,3353
3275,3490,3619,3355
3285,3491,3624,3360
3287,3492,3626,3361
3288,3500,3629,3363
3289,3505,3631,3366
3292,3507,3633,3368
3294,3508,3636,3370
3300,3510,3639,3376
3310,3534,3648,3378
3320,3536,3657,3379
3321,3546,3662,3382
3325,3552,3664,3387
3326,3556,3672,3388
3328,3560,3673,3392
3329,3564,3681,3395
3330,3572,3687,3397
3332,3574,3688,3400
3337,3575,3697,3406
3354,3579,3701,3410
3358,3583,3705,3411
3364,3588,3707,3414
3369,3591,3717,3415
3371,3593,3719,3416
3372,3594,3720,3417
3375,3597,3725,3420
3384,3601,3727,3421
3385,3603,3729,3425
3389,3605,3730,3427
3390,3609,3736,3429
3391,3612,3745,3432
3399,3613,3752,3447
3401,3617,3753,3448
3403,3632,3755,3453
3404,3635,3758,3459
3405,3640,3761,3461
3408,3645,3764,3462
3422,3647,3770,3464
3424,3651,3773,3465
3428,3655,3786,3467
3430,3656,3788,3471
3445,3659,3792,3473
3450,3663,3805,3474
3458,3667,3807,3478
3470,3668,3808,3479
3472,3669,3809,3483
3481,3670,3811,3484
3486,3674,3813,3487
3493,3685,3819,3489
3495,3698,3827,3494
3498,3699,3833,3497
3504,3703,3834,3503
3509,3704,3837,3506
3512,3709,3846,3513
3514,3710,3848,3515
3518,3712,3851,3517
3520,3713,3852,3524
3522,3721,3854,3526
3531,3723,3859,3527
3533,3726,3861,3532
3544,3728,3862,3538
3545,3733,3869,3540
3547,3734,3877,3541
3549,3735,3882,3542
3554,3737,3884,3543
3557,3740,3887,3548
3559,3743,3898,3550
3562,3744,3914,3551
3563,3747,3917,3553
3567,3749,3919,3555
3577,3750,3933,3561
3580,3751,3934,3566
3581,3756,3939,3568
3582,3759,3942,3570
3587,3760,3949,3571
3592,3766,3950,3576
3595,3768,3952,3578
3596,3774,3955,3584
3598,3779,3968,3585
3599,3780,3969,3586
3602,3784,3976,3589
3614,3785,3983,3606
3615,3790,3997,3607
3616,3793,4000,3608
3618,3797,4005,3621
3620,3799,4006,3622
3623,3804,4008,3625
3628,3818,4010,3627
3634,3822,4013,3630
3637,3824,4016,3638
3643,3825,4021,3641
3644,3832,4035,3642
3649,3835,4039,3646
3652,3839,4043,3650
3654,3840,4047,3653
3665,3842,4053,3658
3671,3867,4054,3660
3675,3870,4065,3661
3676,3871,4066,3666
3677,3873,4068,3678
3679,3876,4075,3680
3682,3880,4082,3686
3683,3881,4091,3693
3684,3889,4092,3694
3689,3891,4101,3700
3690,3893,4102,3706
3691,3895,4105,3711
3692,3900,4108,3715
3695,3902,4110,3722
3696,3903,4117,3724
3702,3906,4124,3731
3708,3908,4132,3738
3714,3909,4137,3739
3716,3915,4141,3741
3718,3918,4152,3754
3732,3927,4158,3757
3742,3935,4159,3765
3746,3937,4160,3771
3748,3938,4162,3772
3762,3946,4166,3776
3763,3957,4180,3777
3767,3958,4183,3781
3769,3959,4184,3795
3775,3960,4187,3796
3778,3961,4193,3801
3782,3962,4194,3802
3783,3967,4195,3806
3787,3972,4196,3810
3789,3974,4198,3812
3791,3975,4200,3815
3794,3978,4201,3821
3798,3979,4205,3823
3800,3982,4208,3828
3803,3985,4212,3830
3814,3986,4213,3831
3816,3989,4222,3838
3817,3992,4231,3841
3820,3996,4233,3843
3826,4002,4240,3844
3829,4007,4243,3845
3836,4009,4248,3847
3849,4014,4256,3853
3850,4015,4261,3855
3856,4019,4264,3857
3863,4020,4270,3858
3866,4022,4272,3860
3872,4024,4282,3864
3879,4033,4286,3865
3885,4046,4290,3868
3886,4048,4292,3874
3888,4050,4310,3875
3890,4064,4311,3878
3892,4072,4313,3883
3894,4078,4314,3899
3896,4079,4315,3901
3897,4083,4318,3904
3910,4084,4325,3905
3921,4090,4329,3907
3925,4095,4335,3911
3926,4103,4336,3912
3928,4104,4340,3913
3930,4106,4347,3916
3936,4113,4348,3920
3941,4114,4353,3922
3951,4120,4358,3923
3954,4121,4360,3924
3963,4123,4361,3929
3965,4126,4366,3931
3966,4128,4368,3932
3970,4142,4370,3940
3971,4143,4374,3943
3981,4148,4375,3944
3988,4150,4378,3945
3990,4161,4379,3947
3995,4163,4380,3948
4001,4172,4383,3953
4004,4177,4385,3956
4012,4179,4390,3964
4017,4182,4395,3973
4026,4191,4397,3977
4028,4199,4404,3980
4031,4204,4412,3984
4034,4209,4417,3987
4042,4216,4418,3991
4044,4221,4422,3993
4045,4225,4432,3994
4049,4227,4433,3998
4052,4230,4440,3999
4055,4232,4444,4003
4056,4234,4445,4011
4057,4237,4450,4018
4058,4238,4453,4023
4059,4241,4454,4025
4061,4246,4457,4027
4062,4251,4459,4029
4069,4262,4460,4030
4073,4266,4462,4032
4074,4268,4464,4036
4076,4269,4465,4037
4077,4274,4468,4038
4080,4278,4471,4040
4086,4283,4475,4041
4089,4285,4476,4051
4097,4294,4478,4060
4098,4296,4483,4063
4109,4297,4484,4067
4111,4301,4485,4070
4112,4302,4487,4071
4116,4308,4489,4081
4119,4309,4491,4085
4122,4312,4492,4087
4127,4316,4496,4088
4129,4317,4497,4093
4136,4320,4498,4094
4138,4322,4499,4096
4153,4324,4501,4099
4154,4330,4504,4100
4155,4331,4506,4107
4165,4333,4507,4115
4169,4334,4509,4118
4173,4338,4510,4125
4176,4339,4512,4130
4178,4345,4526,4131
4181,4354,4527,4133
4190,4359,4530,4134
4197,4362,4531,4135
4207,4364,4533,4139
4211,4367,4534,4140
4215,4372,4535,4144
4218,4376,4536,4145
4219,4377,4538,4146
4226,4381,4539,4147
4239,4382,4541,4149
4242,4384,4543,4151
4244,4388,4545,4156
4245,4389,4547,4157
4247,4391,4550,4164
4249,4393,4552,4167
4250,4401,4554,4168
4252,4402,4556,4170
4253,4409,4559,4171
4254,4410,4565,4174
4255,4413,4567,4175
4258,4416,4569,4185
4259,4419,4574,4186
4263,4421,4586,4188
4265,4424,4588,4189
4267,4435,4589,4192
4271,4436,4591,4202
4276,4442,4592,4203
4277,4469,4593,4206
4279,4473,4601,4210
4280,4474,4604,4214
4281,4490,4607,4217
4284,4494,4608,4220
4287,4502,4612,4223
4288,4503,4616,4224
4289,4515,4620,4228
4293,4516,4625,4229
4298,4517,4635,4235
4299,4518,4638,4236
4300,4522,4641,4257
4323,4540,4642,4260
4328,4549,4644,4273
4332,4557,4651,4275
4341,4576,4653,4291
4346,4577,4654,4295
4350,4580,4663,4303
4352,4587,4664,4304
4357,4594,4665,4305
4365,4595,4668,4306
4369,4600,4669,4307
4371,4622,4673,4319
4394,4630,4674,4321
4398,4634,4679,4326
4400,4639,4681,4327
4405,4640,4682,4337
4406,4645,4683,4342
4411,4646,4687,4343
4414,4648,4688,4344
4420,4649,4695,4349
4425,4652,4696,4351
4427,4655,4697,4355
4428,4659,4706,4356
4429,4667,4707,4363
4434,4670,4709,4373
4438,4678,4710,4386
4439,4685,4711,4387
4443,4692,4719,4392
4447,4693,4723,4396
4448,4704,4724,4399
4451,4705,4735,4403
4455,4714,4736,4407
4458,4722,4740,4408
4461,4725,4743,4415
4466,4726,4745,4423
4477,4727,4750,4426
4480,4730,4752,4430
4481,4731,4755,4431
4482,4732,4757,4437
4486,4737,4759,4441
4488,4746,4761,4446
4495,4749,4766,4449
4508,4758,4768,4452
4511,4760,4774,4456
4514,4762,4775,4463
4519,4767,4776,4467
4521,4769,4785,4470
4528,4772,4790,4472
4529,4780,4791,4479
4542,4781,4792,4493
4544,4788,4800,4500
4551,4789,4803,4505
4553,4794,4807,4513
4555,4795,4810,4520
4558,4798,4812,4523
4562,4799,4813,4524
4566,4805,4815,4525
4570,4806,4816,4532
4572,4811,4821,4537
4573,4824,4827,4546
4575,4826,4828,4548
4579,4829,4837,4560
4581,4831,4838,4561
4583,4833,4840,4563
4597,4844,4848,4564
4598,4846,4855,4568
4603,4853,4856,4571
4610,4854,4858,4578
4613,4861,4859,4582
4614,4866,4863,4584
4615,4869,4864,4585
4617,4874,4867,4590
4624,4876,4870,4596
4626,4884,4871,4599
4627,4886,4873,4602
4629,4897,4877,4605
4631,4899,4880,4606
4632,4904,4887,4609
4643,4905,4889,4611
4647,4907,4892,4618
4656,4917,4896,4619
4660,4919,4898,4621
4662,4927,4900,4623
4671,4935,4903,4628
4676,4941,4906,4633
4684,4943,4909,4636
4686,4945,4913,4637
4691,4950,4914,4650
4698,4952,4916,4657
4701,4953,4922,4658
4702,4954,4930,4661
4715,4958,4932,4666
4717,4959,4948,4672
4734,4971,4949,4675
4742,4976,4961,4677
4748,4984,4965,4680
4753,4998,4967,4689
4764,4999,4977,4690
4770,5000,4980,4694
4777,5001,4981,4699
4778,5005,4985,4700
4779,5006,4989,4703
4783,5008,4991,4708
4786,5012,4993,4712
4787,5015,4996,4713
4796,5019,4997,4716
4804,5022,5002,4718
4808,5023,5003,4720
4814,5030,5004,4721
4818,5035,5007,4728
4820,5056,5011,4729
4823,5058,5024,4733
4825,5059,5028,4738
4832,5066,5031,4739
4835,5070,5048,4741
4841,5071,5049,4744
4842,5073,5051,4747
4843,5081,5052,4751
4845,5083,5054,4754
4847,5084,5057,4756
4851,5092,5061,4763
4852,5096,5069,4765
4857,5098,5077,4771
4862,5109,5078,4773
4868,5113,5088,4782
4872,5114,5089,4784
4878,5117,5091,4793
4888,5118,5093,4797
4890,5124,5094,4801
4891,5126,5095,4802
4893,5131,5097,4809
4894,5134,5107,4817
4901,5139,5108,4819
